Dystans (m),Wysokość (m)
0,509.647094726563
7.43054500496203,509.699859619141
14.8610900099241,509.750946044922
22.2916350148861,509.799499511719
29.7221800198481,509.856811523438
37.1527250248101,509.963500976563
44.5832700297722,510.071472167969
52.0138150347342,510.189147949219
59.4443600396962,510.308380126953
66.8749050446583,510.428344726563
74.3054500496203,510.549407958984
81.7359950545823,510.674530029297
89.1665400595444,510.820831298828
96.5970850645064,510.965637207031
104.027630069468,511.120056152344
111.45817507443,511.275573730469
118.888720079392,511.404602050781
126.319265084355,511.511566162109
133.749810089317,511.611541748047
141.180355094279,511.679962158203
148.610900099241,511.751037597656
156.041445104203,511.837615966797
163.471990109165,511.926910400391
170.902535114127,512.018005371094
178.333080119089,512.1103515625
185.763625124051,512.218078613281
193.194170129013,512.380432128906
200.624715133975,512.54345703125
208.055260138937,512.765258789063
215.485805143899,512.994873046875
222.916350148861,513.257141113281
230.346895153823,513.545227050781
237.777440158785,513.851135253906
245.207985163747,514.214599609375
252.638530168709,514.579040527344
260.069075173671,515.042236328125
267.499620178633,515.515686035156
274.930165183595,516.0849609375
282.360710188557,516.725952148438
289.791255193519,517.417663574219
297.221800198481,518.260681152344
304.652345203443,519.109069824219
312.082890208405,520.303039550781
319.513435213367,521.53466796875
326.943980218329,522.489868164063
334.374525223291,523.243957519531
341.805070228253,523.62451171875
349.235615233215,522.977478027344
356.666160238177,522.3095703125
364.096705243139,520.654479980469
371.527250248102,518.924438476563
378.957795253064,517.613525390625
386.388340258026,516.583618164063
393.818885262988,515.723327636719
401.24943026795,515.279357910156
408.679975272912,514.840026855469
416.110520277874,514.615600585938
423.541065282836,514.404541015625
430.971610287798,514.272766113281
438.40215529276,514.188720703125
445.832700297722,514.128295898438
453.263245302684,514.116149902344
460.693790307646,514.104064941406
468.124335312608,514.134643554688
475.55488031757,514.166198730469
482.985425322532,514.231506347656
490.415970327494,514.316162109375
497.846515332456,514.421569824219
505.277060337418,514.572387695312
512.70760534238,514.724487304688
520.138150347342,514.904296875
527.568695352304,515.084350585938
534.999240357266,515.244934082031
542.429785362228,515.395568847656
549.86033036719,515.503967285156
557.290875372152,515.523986816406
564.721420377114,515.540954589844
572.151965382076,515.500244140625
579.582510387038,515.455932617188
587.013055392,515.431335449219
594.443600396962,515.41552734375
601.874145401924,515.4326171875
609.304690406886,515.515258789063
616.735235411848,515.5986328125
624.16578041681,515.794067382813
631.596325421772,515.98876953125
639.026870426735,516.231811523438
646.457415431697,516.496459960938
653.887960436659,516.795043945313
661.318505441621,517.153930664063
668.749050446583,517.515991210938
676.179595451545,517.971130371094
683.610140456507,518.425720214844
691.040685461469,518.944152832031
698.471230466431,519.486022949219
705.901775471393,520.097839355469
713.332320476355,520.824096679688
720.762865481317,521.547912597656
728.193410486279,522.393859863281
735.623955491241,523.244689941406
743.054500496203,523.850280761719
750.485045501165,524.382446289063
757.915590506127,524.530212402344
765.346135511089,524.071166992188
772.776680516051,523.578430175781
780.207225521013,522.24853515625
787.637770525975,520.913879394531
795.068315530937,519.948120117188
802.498860535899,519.10546875
809.929405540861,518.436157226563
817.359950545823,518.025939941406
824.790495550785,517.627197265625
832.221040555747,517.3916015625
839.651585560709,517.153015136719
847.082130565671,516.993774414063
854.512675570633,516.859069824219
861.943220575595,516.761108398438
869.373765580557,516.714294433594
876.80431058552,516.673400878906
884.234855590482,516.701293945313
891.665400595443,516.727844238281
899.095945600406,516.824768066406
906.526490605368,516.941101074219
913.95703561033,517.115478515625
921.387580615292,517.362365722656
928.818125620254,517.625427246094
936.248670625216,518.040771484375
943.679215630178,518.4521484375
951.10976063514,519.190551757812
958.540305640102,520.011474609375
965.970850645064,520.831848144531
973.401395650026,521.656433105469
980.831940654988,522.373168945313
988.26248565995,522.395324707031
995.693030664912,522.426086425781
1003.12357566987,521.577697753906
1010.55412067484,520.526245117188
1017.9846656798,519.312561035156
1025.41521068476,517.908813476562
1032.84575568972,516.593078613281
1040.27630069468,515.753540039063
1047.70684569965,514.906616210938
1055.13739070461,514.351806640625
1062.56793570957,513.857666015625
1069.99848071453,513.450805664063
1077.42902571949,513.13671875
1084.85957072446,512.8427734375
1092.29011572942,512.670654296875
1099.72066073438,512.496643066406
1107.15120573934,512.404724121094
1114.5817507443,512.328491210937
1122.01229574927,512.279113769531
1129.44284075423,512.255676269531
1136.87338575919,512.235900878906
1144.30393076415,512.236511230469
1151.73447576911,512.234680175781
1159.16502077408,512.255798339844
1166.59556577904,512.277404785156
1174.026110784,512.307739257813
1181.45665578896,512.343872070313
1188.88720079392,512.364440917969
1196.31774579889,512.341430664063
1203.74829080385,512.311584472656
1211.17883580881,512.284362792969
1218.60938081377,512.256652832031
1226.03992581873,512.219909667969
1233.4704708237,512.176208496094
1240.90101582866,512.130676269531
1248.33156083362,512.076232910156
1255.76210583858,512.023376464844
1263.19265084355,511.982482910156
1270.62319584851,511.944458007813
1278.05374085347,511.929962158203
1285.48428585843,511.93408203125
1292.91483086339,511.942199707031
1300.34537586836,511.962768554688
1307.77592087332,511.984466552734
1315.20646587828,511.994140625
1322.63701088324,512.003601074219
1330.0675558882,512.026733398438
1337.49810089317,512.060180664063
1344.92864589813,512.098266601562
1352.35919090309,512.148986816406
1359.78973590805,512.199829101563
1367.22028091301,512.271789550781
1374.65082591798,512.345581054688
1382.08137092294,512.434631347656
1389.5119159279,512.5341796875
1396.94246093286,512.637878417969
1404.37300593782,512.754455566406
1411.80355094279,512.869934082031
1419.23409594775,513.006713867188
1426.66464095271,513.145690917969
1434.09518595767,513.289001464844
1441.52573096263,513.434875488281
1448.9562759676,513.585388183594
1456.38682097256,513.747436523438
1463.81736597752,513.908386230469
1471.24791098248,514.100219726562
1478.67845598744,514.292175292969
1486.10900099241,514.498046875
1493.53954599737,514.71142578125
1500.97009100233,514.924743652344
1508.40063600729,515.141235351563
1515.83118101225,515.355895996094
1523.26172601722,515.568542480469
1530.69227102218,515.780456542969
1538.12281602714,515.9970703125
1545.5533610321,516.215942382813
1552.98390603706,516.435607910156
1560.41445104203,516.657775878906
1567.84499604699,516.87841796875
1575.27554105195,517.176086425781
1582.70608605691,517.474609375
1590.13663106187,517.814453125
1597.56717606684,518.176330566406
1604.9977210718,518.565979003906
1612.42826607676,519.015197753906
1619.85881108172,519.46337890625
1627.28935608668,520.126525878906
1634.71990109165,520.784790039063
1642.15044609661,521.627197265625
1649.58099110157,522.554260253906
1657.01153610653,523.486267089844
1664.44208111149,524.4404296875
1671.87262611646,525.375671386719
1679.30317112142,525.388916015625
1686.73371612638,525.399108886719
1694.16426113134,524.466369628906
1701.5948061363,523.099426269531
1709.02535114127,522.061584472656
1716.45589614623,521.621704101563
1723.88644115119,521.202270507813
1731.31698615615,521.247497558594
1738.74753116112,521.303527832031
1746.17807616608,521.432556152344
1753.60862117104,521.609375
1761.039166176,521.745971679688
1768.46971118096,521.803894042969
1775.90025618593,521.878112792969
1783.33080119089,521.644287109375
1790.76134619585,521.430358886719
1798.19189120081,520.943969726563
1805.62243620577,520.333740234375
1813.05298121074,519.81884765625
1820.4835262157,519.461791992188
1827.91407122066,519.105285644531
1835.34461622562,518.936157226563
1842.77516123058,518.760803222656
1850.20570623555,518.680419921875
1857.63625124051,518.633605957031
1865.06679624547,518.620422363281
1872.49734125043,518.660095214844
1879.92788625539,518.702514648438
1887.35843126036,518.796813964844
1894.78897626532,518.891174316406
1902.21952127028,519.007385253906
1909.65006627524,519.1318359375
1917.0806112802,519.260070800781
1924.51115628517,519.392395019531
1931.94170129013,519.526550292969
1939.37224629509,519.679077148438
1946.80279130005,519.830749511719
1954.23333630501,520.014831542969
1961.66388130998,520.20849609375
1969.09442631494,520.40966796875
1976.5249713199,520.621337890625
1983.95551632486,520.830810546875
1991.38606132982,521.032897949219
1998.81660633479,521.234008789063
2006.24715133975,521.463012695313
2013.67769634471,521.699401855469
2021.10824134967,521.96142578125
2028.53878635463,522.255310058594
2035.9693313596,522.556945800781
2043.39987636456,522.916748046875
2050.83042136952,523.278625488281
2058.26096637448,523.797180175781
2065.69151137944,524.360229492187
2073.12205638441,524.535034179688
2080.55260138937,524.23779296875
2087.98314639433,523.765258789063
2095.41369139929,522.385131835938
2102.84423640425,520.999755859375
2110.27478140922,519.856018066406
2117.70532641418,518.774353027344
2125.13587141914,517.897766113281
2132.5664164241,517.240112304688
2139.99696142906,516.62353515625
2147.42750643403,516.210510253906
2154.85805143899,515.799133300781
2162.28859644395,515.496032714844
2169.71914144891,515.216674804688
2177.14968645387,514.982604980469
2184.58023145884,514.794006347656
2192.0107764638,514.624450683594
2199.44132146876,514.544006347656
2206.87186647372,514.463745117188
2214.30241147868,514.417419433594
2221.73295648365,514.377136230469
2229.16350148861,514.341979980469
2236.59404649357,514.311889648438
2244.02459149853,514.283935546875
2251.4551365035,514.26513671875
2258.88568150846,514.246398925781
2266.31622651342,514.245239257813
2273.74677151838,514.247009277344
2281.17731652334,514.255554199219
2288.6078615283,514.270324707031
2296.03840653327,514.284240722656
2303.46895153823,514.294738769531
2310.89949654319,514.306091308594
2318.33004154815,514.365112304688
2325.76058655311,514.431396484375
2333.19113155808,514.505859375
2340.62167656304,514.587341308594
2348.052221568,514.671081542969
2355.48276657296,514.761169433594
2362.91331157793,514.852233886719
2370.34385658289,514.970703125
2377.77440158785,515.093017578125
2385.20494659281,515.231262207031
2392.63549159777,515.382385253906
2400.06603660274,515.542114257813
2407.4965816077,515.727844238281
2414.92712661266,515.91552734375
2422.35767161762,516.132995605469
2429.78821662258,516.354125976563
2437.21876162755,516.563110351563
2444.64930663251,516.758850097656
2452.07985163747,516.920349121094
2459.51039664243,516.977600097656
2466.94094164739,517.010925292969
2474.37148665236,516.796264648437
2481.80203165732,516.540344238281
2489.23257666228,516.174133300781
2496.66312166724,515.742980957031
2504.0936666722,515.321105957031
2511.52421167717,514.931213378906
2518.95475668213,514.550476074219
2526.38530168709,514.265258789063
2533.81584669205,513.994506835938
2541.24639169701,513.773559570313
2548.67693670198,513.585266113281
2556.10748170694,513.419677734375
2563.5380267119,513.300109863281
2570.96857171686,513.183044433594
2578.39911672182,513.06396484375
2585.82966172679,512.947326660156
2593.26020673175,512.842346191406
2600.69075173671,512.745849609375
2608.12129674167,512.654968261719
2615.55184174663,512.572448730469
2622.9823867516,512.492858886719
2630.41293175656,512.409240722656
2637.84347676152,512.327270507813
2645.27402176648,512.264770507813
2652.70456677144,512.2138671875
2660.13511177641,512.176879882813
2667.56565678137,512.168395996094
2674.99620178633,512.16162109375
2682.42674679129,512.160339355469
2689.85729179625,512.159973144531
2697.28783680122,512.157165527344
2704.71838180618,512.153198242187
2712.14892681114,512.159912109375
2719.5794718161,512.1884765625
2727.01001682106,512.218505859375
2734.44056182603,512.207580566406
2741.87110683099,512.196899414063
2749.30165183595,512.183166503906
2756.73219684091,512.16796875
2764.16274184587,512.1640625
2771.59328685084,512.181335449219
2779.0238318558,512.198852539063
